minute,average,changeOverTime,close,date,high,label,low,marketAverage,marketChangeOverTime,marketClose,marketHigh,marketLow,marketNotional,marketNumberOfTrades,marketOpen,marketVolume,notional,numberOfTrades,open,volume
09:30,1677.228,0.0,1675.11,20181211,1678.79,09:30 AM,1670.1,1676.398,0.0,1675.041,1679.5,1669.656,331732301.8125,1791,1677.47,197884,4406079.31,32,1677.465,2627
09:31,1672.156,-0.003024037280560613,1671.795,20181211,1675.425,09:31 AM,1671.795,1672.964,-0.002048439571032636,1674.37,1678.0,1670.0,69277425.1123,977,1675.82,41410,262528.425,4,1675.425,157
09:32,1667.477,-0.005813759369626536,1666.26,20181211,1670.05,09:32 AM,1666.26,1670.131,-0.00373837239128168,1668.362,1674.87,1666.0,94308934.8809,1172,1674.045,56468,265128.85,3,1670.05,159
09:33,1670.888,-0.0037800466007007665,1671.16,20181211,1671.66,09:33 AM,1670.0,1671.777,-0.002756505316756443,1671.22,1676.863,1667.053,79223864.16,1149,1668.628,47389,1002532.5,7,1670.0,600
09:34,1673.498,-0.0022239075426835338,1673.95,20181211,1675.0,09:34 AM,1670.94,1673.09,-0.0019732784219499144,1672.466,1676.0,1670.0,63679494.5451,1015,1671.29,38061,1037569.0,5,1670.94,620
09:35,1674.528,-0.001609799025535017,1674.945,20181211,1677.0,09:35 AM,1673.41,1675.6,-0.00047602061085732735,1674.945,1679.0,1672.158,80293082.8351,1270,1673.78,47919,1116910.5,8,1673.41,667
09:36,1675.264,-0.0011709797356114786,1672.51,20181211,1676.17,09:36 AM,1672.51,1674.952,-0.0008625636632827722,1672.569,1677.83,1672.0,64301410.5507,1145,1675.0,38390,1030287.65,7,1674.87,615
09:37,1669.797,-0.004430524651389101,1668.0,20181211,1672.29,09:37 AM,1667.82,1669.835,-0.003914941439920517,1668.94,1677.47,1666.0,74586507.5919,1147,1672.0,44667,960133.35,9,1672.29,575
09:38,1669.141,-0.004821646192407943,1667.01,20181211,1669.6,09:38 AM,1667.01,1668.939,-0.004449420722286612,1666.004,1671.54,1665.505,78566957.0502,1025,1669.06,47076,1066581.285,14,1669.35,639
09:39,1665.76,-0.006837472305494586,1665.19,20181211,1666.09,09:39 AM,1665.19,1664.708,-0.006973284387120378,1662.02,1671.316,1661.26,62358311.8099,931,1666.14,37459,499728.0,3,1666.09,300
09:40,1662.558,-0.008746574705406822,1661.705,20181211,1664.39,09:40 AM,1661.705,1663.71,-0.00756860840922017,1662.689,1677.35,1661.0,54742729.4246,842,1661.788,32904,518718.03,4,1663.47,312
09:41,1663.63,-0.00810742487008323,1663.6,20181211,1663.66,09:41 AM,1663.6,1666.178,-0.006096404314488445,1667.56,1668.8,1662.75,51876466.5926,715,1663.347,31135,166363.0,2,1663.66,100
09:42,1663.429,-0.008227265464206403,1663.38,20181211,1666.1,09:42 AM,1662.97,1664.401,-0.00715641512337753,1665.217,1667.3,1662.0,34110239.619,494,1667.0,20494,279456.05,4,1666.1,168
09:43,1668.56,-0.005168051093828698,1669.74,20181211,1669.74,09:43 AM,1666.37,1668.194,-0.0048938259291647634,1669.17,1670.8,1664.4,47264930.559,832,1664.97,28333,525596.45,7,1666.37,315
09:44,1669.17,-0.0048043557584299765,1669.17,20181211,1669.17,09:44 AM,1669.17,1671.863,-0.002705204849922187,1672.928,1674.0,1668.16,54098151.0833,704,1669.57,32358,108496.05,2,1669.17,65
09:45,-1.0,,,20181211,-1.0,09:45 AM,-1.0,1672.74,-0.0021820593916241264,1671.55,1674.4,1670.74,35912058.2184,613,1672.453,21469,0.0,0,,0
09:46,1668.56,-0.005168051093828698,1667.505,20181211,1670.94,09:46 AM,1667.505,1668.989,-0.004419594869476031,1668.99,1672.5,1666.72,38817343.3483,593,1671.55,23258,1208037.67,16,1670.94,724
09:47,1668.168,-0.005401770063461958,1667.49,20181211,1668.845,09:47 AM,1667.49,1667.171,-0.005504062877669779,1665.61,1669.485,1665.14,29712327.2422,562,1667.867,17822,333633.5,2,1668.845,200
09:48,1666.767,-0.006237076891156129,1669.25,20181211,1669.25,09:48 AM,1664.22,1666.168,-0.006102369485050697,1669.41,1670.0,1664.19,53725606.3222,716,1665.535,32245,2203466.19,13,1664.82,1322
09:49,1667.156,-0.00600514658710689,1664.72,20181211,1668.35,09:49 AM,1664.72,1667.678,-0.005201628730170163,1664.27,1671.0,1664.233,34205746.4915,685,1668.58,20511,265077.79,7,1668.35,159
09:50,1663.077,-0.008437135559387314,1663.47,20181211,1666.05,09:50 AM,1662.37,1663.433,-0.007733843633790973,1663.77,1667.01,1661.124,61072940.0296,762,1664.9,36715,570435.5,6,1666.05,343
09:51,1660.68,-0.00986627936094556,1660.66,20181211,1660.7,09:51 AM,1660.66,1661.656,-0.008793854442680058,1661.775,1664.485,1660.1,36785740.9657,637,1663.156,22138,166068.0,2,1660.7,100
09:52,1662.519,-0.008769827357997875,1664.46,20181211,1664.46,09:52 AM,1661.46,1663.585,-0.007643173041246694,1666.355,1666.66,1660.63,68935641.2065,1184,1661.636,41438,1547804.92,19,1662.45,931
09:53,1665.43,-0.0070342255197265975,1665.63,20181211,1666.16,09:53 AM,1665.015,1665.575,-0.006456104099384434,1664.65,1667.29,1664.48,34444093.7314,594,1666.267,20680,999258.0,6,1666.16,600
09:54,1666.262,-0.0065381689311173686,1666.0,20181211,1666.82,09:54 AM,1665.81,1665.841,-0.0062974305624320815,1665.761,1667.84,1663.98,30741440.463,549,1664.62,18454,374909.0,4,1665.81,225
09:55,1666.665,-0.006297891521009727,1666.665,20181211,1666.665,09:55 AM,1666.665,1666.583,-0.005854814906722525,1664.91,1668.0,1664.37,38419749.5176,566,1665.115,23053,83333.25,1,1666.665,50
09:56,1663.118,-0.00841269046307367,1663.66,20181211,1663.685,09:56 AM,1663.04,1664.168,-0.0072954035974750735,1665.17,1667.08,1662.08,35217125.8091,605,1664.35,21162,94797.745,3,1663.04,57
09:57,1665.96,-0.006718227933232708,1666.95,20181211,1667.2,09:57 AM,1665.0,1665.664,-0.006403014081381584,1663.738,1667.58,1663.0,39964288.2153,553,1666.03,23993,4128250.34,27,1665.0,2478
09:58,1662.124,-0.00900533499321502,1659.97,20181211,1662.34,09:58 AM,1659.97,1660.829,-0.009287174048167536,1659.19,1663.89,1658.48,78150308.2696,938,1663.676,47055,211089.81,5,1662.28,127
09:59,1657.51,-0.011756302661295945,1659.1,20181211,1659.1,09:59 AM,1657.0,1658.329,-0.010778466688698007,1657.261,1660.77,1656.65,48993659.3298,676,1658.67,29544,293379.3,3,1658.08,177
10:00,1661.106,-0.00961228884802786,1662.375,20181211,1662.39,10 AM,1659.16,1661.563,-0.0088493305289077,1663.122,1663.8,1657.15,42321683.0787,670,1657.97,25471,656136.87,8,1659.16,395
10:01,1661.7,-0.009258133062410131,1661.7,20181211,1661.7,10:01 AM,1661.7,1662.322,-0.008396574083242776,1663.29,1663.83,1660.67,23131204.6476,454,1663.15,13915,1661.7,1,1661.7,1
10:02,1664.504,-0.007586326963299062,1663.89,20181211,1665.425,10:02 AM,1663.89,1664.492,-0.007102132071262284,1664.71,1665.99,1662.41,27981774.7901,441,1663.372,16811,449416.11,6,1665.275,270
10:03,1663.381,-0.00825588411354925,1663.86,20181211,1663.86,10:03 AM,1662.39,1663.374,-0.007769038140107473,1664.89,1664.93,1662.0,27863174.9041,326,1664.89,16751,583846.77,6,1663.815,351
10:04,1664.943,-0.007324585566184252,1664.26,20181211,1665.455,10:04 AM,1664.26,1665.318,-0.006609408982831003,1664.885,1666.39,1664.017,44275818.8364,475,1664.28,26587,521127.29,6,1665.34,313
10:05,-1.0,,,20181211,-1.0,10:05 AM,-1.0,1662.853,-0.008079823526393998,1661.238,1665.43,1661.044,30526655.9223,387,1665.43,18358,0.0,0,,0
10:06,1661.623,-0.009304042145730943,1661.35,20181211,1661.71,10:06 AM,1661.35,1660.906,-0.009241242234839199,1660.44,1662.48,1659.27,22729500.8692,428,1662.35,13685,109667.1,2,1661.71,66
10:07,1661.246,-0.009528817787444504,1662.77,20181211,1662.77,10:07 AM,1660.28,1661.751,-0.008737185322339884,1662.32,1664.0,1659.47,47118959.812,695,1660.382,28355,501696.44,10,1660.59,302
10:08,1657.484,-0.011771804429690025,1658.1,20181211,1660.495,10:08 AM,1656.05,1658.032,-0.010955632254393041,1656.571,1662.51,1655.86,75077354.2073,914,1662.16,45281,1418806.525,11,1660.495,856
10:09,1656.231,-0.01251887042191048,1653.76,20181211,1659.06,10:09 AM,1653.76,1656.46,-0.011893357066758536,1653.799,1661.187,1653.0,74784197.9971,1076,1656.957,45147,1016925.84,9,1656.95,614
10:10,1650.432,-0.01597636099564284,1648.83,20181211,1652.32,10:10 AM,1647.54,1649.94,-0.015782648273261993,1649.21,1654.01,1646.4,103376971.0374,1386,1653.278,62655,386201.19,8,1652.32,234
10:11,1649.33,-0.01663339748680569,1649.015,20181211,1649.425,10:11 AM,1649.015,1649.186,-0.016232422133646063,1647.5,1651.29,1647.25,53194501.957,723,1649.707,32255,112154.42,5,1649.425,68
10:12,1648.38,-0.017199808255049378,1648.76,20181211,1648.76,10:12 AM,1648.0,1648.193,-0.016824763570464727,1648.42,1649.91,1647.02,39101721.9156,513,1647.5,23724,329676.0,3,1648.0,200
10:13,1649.956,-0.01626016260162611,1650.76,20181211,1650.76,10:13 AM,1649.3,1650.679,-0.015341822168721165,1650.5,1652.27,1648.387,31745863.2786,475,1648.413,19232,379489.8,3,1649.3,230
10:14,1653.213,-0.01431826799934183,1653.6,20181211,1653.6,10:14 AM,1651.045,1651.937,-0.014591403712006346,1653.6,1653.64,1650.067,20178405.1432,407,1651.01,12215,171934.11,14,1651.045,104
10:15,1651.297,-0.015460629085610328,1650.98,20181211,1652.555,10:15 AM,1650.0,1651.832,-0.014654038002908501,1651.45,1654.214,1649.38,33395082.3819,566,1653.44,20217,221273.76,4,1652.555,134
10:16,1651.815,-0.015151786161452116,1651.815,20181211,1651.815,10:16 AM,1651.815,1652.237,-0.01441244859514258,1654.45,1654.45,1650.24,27126426.8638,376,1651.53,16418,1651.815,1,1651.815,1
10:17,1656.604,-0.012296479667642099,1656.365,20181211,1657.62,10:17 AM,1653.17,1655.711,-0.012340148341861479,1656.1,1658.0,1653.0,45427735.7005,579,1653.945,27437,3046495.39,11,1654.14,1839
10:18,1655.862,-0.012738876288733544,1654.96,20181211,1656.0,10:18 AM,1654.96,1655.171,-0.012662267552216038,1655.29,1656.735,1653.24,33901217.9186,449,1656.475,20482,859392.24,3,1656.0,519
10:19,1655.239,-0.013110322508329239,1655.24,20181211,1655.39,10:19 AM,1655.2,1655.355,-0.012552508413873014,1654.5,1656.0,1654.0,22943216.802,374,1655.18,13860,877276.7,4,1655.39,530
10:20,1656.646,-0.012271438349467161,1657.52,20181211,1657.52,10:20 AM,1655.19,1656.389,-0.011935709777749685,1657.08,1658.0,1654.52,21349193.3827,391,1654.798,12889,667628.36,9,1655.19,403
10:21,1658.864,-0.010949018261083188,1659.935,20181211,1659.935,10:21 AM,1658.45,1658.731,-0.01053866683210068,1660.65,1660.75,1656.312,23980276.1241,427,1657.1,14457,504294.8,7,1658.59,304
10:22,1659.016,-0.010858392538164154,1658.605,20181211,1659.11,10:22 AM,1658.605,1659.058,-0.010343605754719296,1659.36,1660.62,1657.88,17332180.1536,402,1660.13,10447,530885.1,4,1659.11,320
10:23,1657.0,-0.01206037581056366,1657.0,20181211,1657.0,10:23 AM,1657.0,1658.065,-0.010935947191537962,1657.755,1659.857,1656.48,24963830.7817,313,1659.82,15056,150787.0,1,1657.0,91
10:24,1661.2,-0.00955624399306476,1661.2,20181211,1661.2,10:24 AM,1661.2,1661.153,-0.009093902521954746,1663.31,1663.5,1657.244,43819550.5459,636,1657.244,26379,19934.4,1,1661.2,12
10:25,1664.907,-0.00734604955319142,1664.94,20181211,1664.94,10:25 AM,1663.81,1663.915,-0.007446322412696715,1662.999,1664.94,1662.272,41471411.6961,609,1662.44,24924,171485.43,2,1663.81,103
10:26,1662.143,-0.00899400677785014,1662.24,20181211,1662.24,10:26 AM,1661.66,1662.001,-0.008588056058286836,1660.69,1663.72,1660.64,23183255.0424,376,1662.593,13949,199457.2,2,1661.66,120
10:27,1660.195,-0.010155446963680625,1660.195,20181211,1660.195,10:27 AM,1660.195,1663.0,-0.007992135519130845,1663.622,1665.0,1659.2,40490734.8764,713,1660.6,24348,83009.75,1,1660.195,50
10:28,1663.13,-0.008405535800737858,1663.13,20181211,1663.13,10:28 AM,1663.13,1663.591,-0.007639593938909506,1662.803,1665.47,1662.36,28134660.187,421,1663.71,16912,133050.4,1,1663.13,80
10:29,1664.45,-0.007618522943809679,1664.45,20181211,1664.45,10:29 AM,1664.45,1663.883,-0.0074654109584954605,1662.8,1664.88,1662.326,11221229.5963,238,1662.519,6744,166445.0,1,1664.45,100
10:30,1663.562,-0.008147967956652385,1663.46,20181211,1664.6,10:30 AM,1663.24,1663.809,-0.007509553220655204,1661.89,1665.39,1661.73,31169799.9029,454,1662.408,18734,583910.14,5,1664.6,351
10:31,1661.105,-0.009612885069889155,1661.105,20181211,1661.105,10:31 AM,1661.105,1661.441,-0.008922105609765628,1661.932,1662.915,1660.28,16787197.3055,291,1662.296,10104,166110.5,1,1661.105,100
10:32,-1.0,,,20181211,-1.0,10:32 AM,-1.0,1661.557,-0.008852909631245024,1661.27,1662.78,1660.5,16313168.8644,339,1661.961,9818,0.0,0,,0
10:33,1662.397,-0.008842566425077646,1662.375,20181211,1663.1,10:33 AM,1662.375,1662.72,-0.008159160294870241,1662.38,1664.0,1660.71,17051190.364,320,1660.71,10255,176214.11,3,1662.83,106
10:34,1663.227,-0.008347702280190872,1662.895,20181211,1663.31,10:34 AM,1662.895,1662.151,-0.008498578499854954,1661.237,1663.77,1660.315,13765938.9985,264,1661.58,8282,340961.475,3,1663.16,205
10:35,1660.037,-0.010249650017767429,1659.105,20181211,1661.84,10:35 AM,1659.105,1660.435,-0.009522201768315142,1659.105,1662.24,1658.381,38344422.7623,599,1660.95,23093,916340.46,9,1660.93,552
10:36,1658.043,-0.011438516409218169,1658.62,20181211,1658.62,10:36 AM,1657.47,1657.922,-0.011021249130576323,1658.9,1659.46,1656.39,24696407.6252,487,1658.63,14896,638346.385,9,1657.81,385
10:37,1658.795,-0.010990157569513503,1659.28,20181211,1659.28,10:37 AM,1658.46,1659.123,-0.010304832146065472,1659.167,1660.0,1658.01,15074791.3085,276,1659.05,9086,257113.3,3,1658.57,155
10:38,1659.69,-0.01045653900364173,1659.69,20181211,1659.69,10:38 AM,1659.69,1659.702,-0.009959448770518645,1659.39,1661.0,1658.55,10622092.908,231,1659.93,6400,29874.42,1,1659.69,18
10:39,1660.913,-0.009727359667260536,1661.38,20181211,1661.38,10:39 AM,1660.755,1661.57,-0.008845154909514314,1661.527,1663.0,1659.428,23047632.1689,471,1660.01,13871,164430.37,2,1660.755,99
10:40,1663.68,-0.008077613777017795,1663.68,20181211,1663.68,10:40 AM,1663.68,1663.38,-0.007765459037770149,1663.789,1664.389,1661.65,16043297.5,276,1661.65,9645,11645.76,1,1663.68,7
10:41,-1.0,,,20181211,-1.0,10:41 AM,-1.0,1662.307,-0.008405521839085883,1662.48,1663.971,1661.0,12784803.8991,247,1663.6,7691,0.0,0,,0
10:42,1661.872,-0.009155582902264923,1662.59,20181211,1662.59,10:42 AM,1661.415,1662.199,-0.008469945681156768,1662.397,1663.27,1660.93,8648422.8378,194,1662.454,5203,373921.25,3,1662.15,225
10:43,1661.075,-0.009630771725728416,1660.84,20181211,1661.41,10:43 AM,1660.84,1661.304,-0.009003828446466666,1661.28,1662.779,1660.26,14596215.8393,243,1662.779,8786,470084.27,6,1661.01,283
10:44,1658.864,-0.010949018261083188,1658.63,20181211,1659.74,10:44 AM,1658.5,1659.189,-0.01026546202035545,1659.908,1660.97,1658.0,18000543.0871,372,1660.9,10849,555719.635,10,1659.74,335
10:45,1661.092,-0.009620635954086127,1660.61,20181211,1661.62,10:45 AM,1660.52,1660.647,-0.009395740152398163,1658.179,1661.62,1658.179,12104459.2759,184,1660.32,7289,332218.5,3,1661.62,200
10:46,1655.135,-0.013172329581905427,1654.04,20181211,1658.48,10:46 AM,1654.04,1656.009,-0.012162386259110246,1654.055,1658.64,1654.0,35468405.8321,532,1658.62,21418,787844.18,9,1658.48,476
10:47,1654.11,-0.013783456989747467,1653.19,20181211,1654.66,10:47 AM,1653.19,1653.696,-0.013542130210129098,1653.74,1655.28,1652.61,26125085.1534,429,1654.04,15798,694726.005,8,1654.66,420
10:48,1655.212,-0.013126420498584614,1655.41,20181211,1656.41,10:48 AM,1654.07,1655.007,-0.01276009634943483,1656.53,1656.56,1653.0,19145123.1618,278,1653.67,11568,1166924.55,9,1654.07,705
10:49,1653.569,-0.014106013016715739,1654.48,20181211,1654.515,10:49 AM,1652.88,1653.559,-0.013623853046830134,1654.15,1656.73,1651.298,24770320.7932,566,1656.452,14980,894580.755,12,1654.515,541
10:50,1650.143,-0.016148669113561206,1649.76,20181211,1652.73,10:50 AM,1649.76,1651.397,-0.014913522922360905,1651.85,1654.331,1649.5,32563888.3367,612,1654.331,19719,2643529.46,28,1652.73,1602
10:51,1653.682,-0.014038639946387758,1654.36,20181211,1654.36,10:51 AM,1653.46,1653.372,-0.013735401736341753,1654.65,1654.88,1650.76,19132823.4126,353,1651.364,11572,1157577.8,16,1653.46,700
10:52,1655.853,-0.012744242285485336,1655.49,20181211,1656.73,10:52 AM,1654.215,1654.929,-0.012806624679819365,1654.99,1656.73,1652.91,28822248.1504,557,1654.32,17416,889192.99,8,1654.95,537
10:53,-1.0,,,20181211,-1.0,10:53 AM,-1.0,1655.437,-0.012503594015263686,1654.939,1656.601,1653.691,9492278.6141,228,1656.241,5734,0.0,0,,0
10:54,1654.793,-0.01337623745847325,1654.77,20181211,1654.98,10:54 AM,1654.14,1654.772,-0.01290027785764477,1655.06,1656.989,1652.5,15061739.2028,364,1654.88,9102,347506.64,5,1654.98,210
10:55,1656.328,-0.012461036901363494,1654.0,20181211,1657.49,10:55 AM,1654.0,1655.384,-0.012535209419242863,1652.51,1657.88,1652.16,26222935.1999,404,1655.49,15841,503523.84,6,1656.01,304
10:56,1652.665,-0.014644997579339304,1652.665,20181211,1652.665,10:56 AM,1652.665,1652.666,-0.014156542778027635,1654.41,1654.41,1651.61,20772362.1427,309,1652.95,12569,4957.995,1,1652.665,3
10:57,1653.283,-0.01427653246905022,1653.41,20181211,1653.41,10:57 AM,1653.215,1652.29,-0.014380833191163404,1651.839,1654.5,1650.048,18368509.9847,340,1653.899,11117,495985.0,4,1653.215,300
10:58,1652.675,-0.014639035360726216,1652.675,20181211,1652.675,10:58 AM,1652.675,1652.289,-0.014381429708219602,1653.49,1654.49,1650.58,13846185.986,319,1651.44,8380,3305.35,1,1652.675,2
10:59,-1.0,,,20181211,-1.0,10:59 AM,-1.0,1654.863,-0.01284599480552939,1655.864,1656.283,1652.85,16992130.8527,292,1654.058,10268,0.0,0,,0
11:00,1654.831,-0.013353581027743491,1654.05,20181211,1655.07,11 AM,1654.05,1654.851,-0.012853153010203901,1653.55,1656.6,1653.0,19561989.5686,330,1655.495,11821,251534.35,3,1655.07,152
11:01,1653.8,-0.013968285766753304,1654.13,20181211,1654.13,11:01 AM,1653.47,1654.289,-0.013188395595795226,1654.0,1656.58,1652.81,12757876.2921,257,1653.06,7712,330760.0,3,1653.47,200
11:02,1652.325,-0.014847713012184401,1652.325,20181211,1652.325,11:02 AM,1652.325,1653.1,-0.013897654375631565,1651.65,1655.74,1651.0,21658916.3256,418,1653.43,13102,8261.625,1,1652.325,5
11:03,1653.18,-0.014337943320764978,1653.25,20181211,1653.25,11:03 AM,1653.11,1652.602,-0.014194719869625127,1652.0,1653.62,1651.166,9917265.2032,224,1651.565,6001,330636.0,2,1653.11,200
11:04,1653.335,-0.014245528932262058,1653.335,20181211,1653.335,11:04 AM,1653.335,1653.081,-0.0139089881996996,1654.36,1654.86,1651.5,14223109.2372,242,1652.324,8604,330667.0,1,1653.335,200
11:05,1653.16,-0.014349867757991151,1652.34,20181211,1653.98,11:05 AM,1652.34,1652.976,-0.013971622490601755,1653.13,1654.93,1651.66,14190794.8787,275,1653.606,8585,333938.24,3,1653.98,202
11:06,1653.197,-0.014327807549122823,1653.745,20181211,1653.745,11:06 AM,1652.35,1653.236,-0.01381652805598659,1652.79,1654.79,1651.997,12162860.2705,228,1653.13,7357,512491.0,4,1652.35,310
11:07,1654.567,-0.013510983599129073,1655.62,20181211,1656.085,11:07 AM,1652.5,1654.797,-0.012885364931239412,1655.182,1657.0,1651.92,29220403.9844,436,1652.845,17658,976194.5,6,1652.5,590
11:08,1656.22,-0.012525428862384861,1656.22,20181211,1656.22,11:08 AM,1656.22,1656.01,-0.012161789742054048,1656.75,1656.95,1654.47,13799528.5768,206,1655.41,8333,165622.0,1,1656.22,100
11:09,1656.703,-0.012237453703372522,1656.63,20181211,1656.75,11:09 AM,1656.63,1657.316,-0.011382738466640906,1657.732,1658.62,1656.02,30693487.7872,388,1656.31,18520,331340.5,3,1656.75,200
11:10,1658.079,-0.011417052422211001,1658.05,20181211,1658.25,11:10 AM,1658.05,1658.26,-0.010819626365576623,1657.394,1659.31,1657.026,22429625.4357,451,1657.64,13526,174098.25,3,1658.25,105
11:11,1655.826,-0.012760340275740712,1655.29,20181211,1655.91,11:11 AM,1655.29,1656.38,-0.011941078431255468,1655.75,1657.94,1655.03,19220632.3939,337,1657.37,11604,192075.88,3,1655.31,116
11:12,1655.045,-0.01322598954942321,1655.08,20181211,1655.08,11:12 AM,1654.97,1655.066,-0.012724901843118329,1653.916,1656.18,1653.56,12810207.9832,285,1656.18,7740,496513.5,4,1655.03,300
11:13,1652.804,-0.014562122740617243,1652.3,20181211,1653.9,11:13 AM,1652.09,1653.005,-0.013954323495971603,1652.01,1654.478,1651.9,19888961.1164,312,1654.24,12032,1768500.8,11,1653.2,1070
11:14,1651.031,-0.015619224100718636,1650.6,20181211,1651.29,11:14 AM,1650.6,1650.413,-0.015500495705673653,1650.75,1652.21,1649.0,33320189.8799,559,1651.6,20189,264165.0,3,1651.29,160
11:15,1649.214,-0.01670255922271756,1650.99,20181211,1650.99,11:15 AM,1648.31,1649.351,-0.016133996819370937,1649.51,1651.0,1648.0,27629934.3428,544,1651.0,16752,661335.0,5,1648.68,401
11:16,1649.911,-0.016286992585384935,1650.29,20181211,1650.29,11:16 AM,1648.08,1648.971,-0.016360673300731633,1649.32,1650.3,1647.44,26972217.9791,414,1648.911,16357,145192.18,4,1648.08,88
11:17,1649.075,-0.01678543406143948,1648.79,20181211,1651.02,11:17 AM,1648.07,1649.201,-0.01622347437780282,1648.125,1651.66,1647.53,28552620.4306,449,1649.979,17313,600263.42,10,1651.02,364
11:18,1647.978,-0.017439489443295722,1647.88,20181211,1649.0,11:18 AM,1647.61,1649.457,-0.016070766011412448,1652.03,1652.97,1647.09,28377257.0116,538,1648.075,17204,617991.625,9,1649.0,375
11:19,1653.38,-0.014218698948503099,1653.38,20181211,1653.38,11:19 AM,1653.38,1652.39,-0.014321181485542104,1653.54,1653.66,1650.79,15988526.2693,316,1652.53,9676,165338.0,1,1653.38,100
11:20,1654.455,-0.013577760447595757,1654.57,20181211,1654.635,11:20 AM,1654.0,1654.222,-0.013228362238561447,1653.99,1655.9,1652.65,19594264.0124,384,1653.9,11845,569132.58,4,1654.635,344
